model,gpt_says,compound,species,manual_inspection_says,index,text_type,iteration,gpt_interpretation,judgement,status,category
gpt-3.5-turbo-0613,No,Lycorine,Nerine_huttoniae,FALSE,2,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,feruloyltyramine,Dendrobium_moniliforme,FALSE,6,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Tyrosol,Rehmannia_glutinosa,FALSE,7,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Galanthamine,Pancratium_illyricum,TRUE,10,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Lycorine,Zephyranthes_carinata,TRUE,16,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Galanthamine,Salvia_officinalis,FALSE,17,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Lycorine,Cocculus_laurifolius,TRUE,25,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Hordenine,Cyathobasis_fruticulosa,TRUE,30,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Tyrosol,Borassus_flabellifer,TRUE,42,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Galanthamine,Lycoris_radiata,TRUE,43,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Coffea_arabica,FALSE,45,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Tyrosol,Olea_europaea,TRUE,59,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Lycorine,Crinum_zeylanicum,TRUE,63,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Nepeta_trachonitica,TRUE,68,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Lycorine,Crinum_kirkii,TRUE,70,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Nepeta_longibracteata,TRUE,73,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Lycorine,Zephyranthes_candida,TRUE,74,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Origanum_rotundifolium,TRUE,75,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_miltiorrhiza,TRUE,76,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Haemanthamine,Narcissus_confusus,TRUE,77,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Salidroside,Forsythia_suspensa,TRUE,82,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Lycorine,Lycoris_albiflora,TRUE,83,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Salidroside,Panax_notoginseng,FALSE,88,abstract,1,Y,false_positive,false,positive
gpt-3.5-turbo-0613,No,Galanthamine,Argemone_platyceras,FALSE,90,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,yes,Isobetanin,Opuntia_stricta,TRUE,94,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,no,Betanin,Opuntia_undulata,TRUE,97,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Rosmarinus_officinalis,TRUE,100,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Galanthamine,Lycoris_aurea,TRUE,101,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,yes,Rosmarinate,Aronia_arbutifolia,TRUE,102,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_miltiorrhiza,TRUE,104,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Perilla_frutescens,TRUE,107,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Anchusa_azurea,TRUE,110,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Buglossoides_purpurocaerulea,TRUE,113,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Echium_vulgare,TRUE,117,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Omphalodes_verna,TRUE,121,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Symphytum_officinale,TRUE,125,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Salvia_miltiorrhiza,TRUE,129,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Lycorine,Zephyranthes_candida,TRUE,133,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Salidroside,Echinacea_purpurea,FALSE,138,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Salidroside,Phaseolus_vulgaris,FALSE,140,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,4-Hydroxyphenyllactate,Nicotiana_tabacum,TRUE,141,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Tyrosol,Aloe_arborescens,TRUE,144,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Salidroside,Rhodiola_crenulata,TRUE,148,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,yes,feruloyltyramine,Lycium_barbarum,TRUE,162,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Sterculia_striata,TRUE,168,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Ocimum_basilicum,TRUE,170,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Lycorine,Eucalyptus_globulus,FALSE,172,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Homogentisate,Arabidopsis_thaliana,TRUE,174,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Salvia_miltiorrhiza,TRUE,177,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Salidroside,Osmanthus_fragrans,TRUE,182,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Lycorine,Pancratium_canariense,TRUE,186,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Tchihatchewia_isatidea,TRUE,190,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,Yes,Rosmarinate,Mentha_longifolia,TRUE,191,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Pseudosempervivum_sempervivum,TRUE,194,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,Yes,Salidroside,Centaurea_urvillei,TRUE,198,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Galanthamine,Helichrysum_italicum,FALSE,203,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Galanthamine,Mentha_spicata,FALSE,204,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,No,Galanthamine,Origanum_vulgare,FALSE,205,abstract,1,N,true_negative,true,negative
gpt-3.5-turbo-0613,Yes,Rosmarinate,Salvia_plebeia,TRUE,207,abstract,1,Y,true_positive,true,positive
gpt-3.5-turbo-0613,No,Rosmarinate,Ocimum_gratissimum,TRUE,208,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Thymus_sibthorpii,TRUE,212,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Rosmarinate,Thymus_longicaulis,TRUE,213,abstract,1,N,false_negative,false,negative
gpt-3.5-turbo-0613,No,Galanthamine,Galanthus_woronowii,TRUE,228,abstract,1,N,false_negative,false,negative
